[21:34:53]	INFO    | Creating GLFW Window
[21:34:57]	INFO    | + Loading Game Object "StoneWall_1"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "StoneWall_2"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Ground_0"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading new OBJ file : "Assets/Shapes/cube.obj"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Ground_1"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Opened file "Assets/Shapes/cube.obj"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Ground_2"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Opened file "Assets/Shapes/default.mtl"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Ground_3"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Loaded MTL file : "Assets/Shapes/default.mtl"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Ground_4"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Loaded OBJ file : "Assets/Shapes/cube.obj"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Opened file "Assets/wallrock.mtl"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Ground_5"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Opened file "Assets/scifi_05.mtl"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Opened file "Assets/dirt.mtl"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Plate_0"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Loaded MTL file : "Assets/scifi_05.mtl"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Loaded MTL file : "Assets/wallrock.mtl"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Loaded MTL file : "Assets/dirt.mtl"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Plate_1"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Plate_2"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Plate_4"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Opened file "Assets/scifi_01.mtl"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Plate_5"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Loaded MTL file : "Assets/scifi_01.mtl"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Plate_6"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Fabric_0"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Fabric_1"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Fabric_2"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Fabric_5"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Floor_Ramp_0"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Floor_Ramp_1"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Floor_Ramp_2"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Floor_Ramp_3"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Floor_Ramp_4"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Floor_Ramp_5"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Floor_0"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Floor_1"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Floor_2"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Floor_3"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Brick_0"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Brick_1"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Brick_2"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Brick_3"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Brick_4"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Brick_5"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Brick_6"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Brick_7"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Brick_8"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Damage_0"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Damage_1"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Damage_2"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "SCIFI_Damage_3"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "AmmoBox"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "AmmoBoxE"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Opened file "Resource/Shader/Particle.shad"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Shaders "Resource/Shader/Particle.shad"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | Vertex Shader ->	Successfully compiled
[21:34:57]	-------	|
[21:34:57]	SUCCESS | Fragment Shader ->	Successfully compiled
[21:34:57]	-------	|
[21:34:57]	SUCCESS | Shader program ->	Successfully linked
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Opened file "Assets/ammo_popup.mtl"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Loaded MTL file : "Assets/ammo_popup.mtl"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "AmmoBox1"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "AmmoBoxE1"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "AmmoBox2"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "AmmoBoxE2"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "AmmoBox3"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "AmmoBoxE3"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Player"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "PlayerGFX"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "PlayerCameraPivot"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Main_Camera"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Rifle"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Opened file "Assets/smoke.mtl"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Loaded MTL file : "Assets/smoke.mtl"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "GunBody01.002_Mesh.004"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Reticule"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Loaded texture "Assets/Textures/TexturesCom_Concrete_DamagedPaint2_1K_albedo.png"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "LifeHUD"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Loaded texture "Assets/Textures/TexturesCom_Scifi_Panel_4K_albedo.png"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Opened file "Assets/scifi_02.mtl"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "AmmoHUD"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Loaded MTL file : "Assets/scifi_02.mtl"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Opened file "Assets/scifi_03.mtl"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Sun_Light_01"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Loaded MTL file : "Assets/scifi_03.mtl"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Sun_Light_02"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Opened file "Assets/scifi_04.mtl"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Light_01"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Loaded MTL file : "Assets/scifi_04.mtl"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Light_02"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Opened file "Assets/scifi_06.mtl"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Light_03"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Loaded MTL file : "Assets/scifi_06.mtl"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Light_04"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Opened file "Assets/scifi_07.mtl"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Light_05"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Loaded MTL file : "Assets/scifi_07.mtl"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Light_06"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading new OBJ file : "Assets/Ammo/ammo-box.obj"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Light_07"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Opened file "Assets/Ammo/ammo-box.obj"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Light_08"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Button_01"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Button_02"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Button_03"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Menu"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Container_0"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Container_1"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Opened file "Assets/Ammo/ammo-box.mtl"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Loaded MTL file : "Assets/Ammo/ammo-box.mtl"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Container_2"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Container_3"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Container_4"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Container_5"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Container_6"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Container_7"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Container_8"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Container_9"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Container_10"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Container_11"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Container_12"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Enemy"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "EnemyGFX"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Enemy0"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Loaded texture "Assets/Textures/TexturesCom_Scifi_Panel_4K_normal.png"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "EnemyGFX0"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Enemy1"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "EnemyGFX1"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Enemy2"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "EnemyGFX2"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Enemy3"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Loaded texture "Assets/pickup_popup.png"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "EnemyGFX3"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Loaded OBJ file : "Assets/Ammo/ammo-box.obj"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading new OBJ file : "Assets/Shapes/sphere.obj"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Enemy4"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Opened file "Assets/Shapes/sphere.obj"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "EnemyGFX4"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Enemy5"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Loaded OBJ file : "Assets/Shapes/sphere.obj"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "EnemyGFX5"
[21:34:57]	-------	|
[21:34:57]	ERROR   | ! Failed to open file "sphere_default"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Enemy6"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading new OBJ file : "Assets/Weapon/rifle.obj"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Opened file "Assets/Weapon/rifle.obj"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "EnemyGFX6"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Opened file "Assets/Weapon/rifle.mtl"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Enemy7"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Loaded MTL file : "Assets/Weapon/rifle.mtl"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "EnemyGFX7"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Loaded texture "Assets/smoke_particle.png"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Enemy8"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "EnemyGFX8"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Enemy9"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Loaded texture "Assets/Reticule.png"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "EnemyGFX9"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Enemy10"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "EnemyGFX10"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Enemy11"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "EnemyGFX11"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Enemy12"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "EnemyGFX12"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Enemy13"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "EnemyGFX13"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "Enemy14"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "EnemyGFX14"
[21:34:57]	-------	|
[21:34:58]	SUCCESS | > Loaded texture "Assets/HUD_Quadran.png"
[21:34:58]	-------	|
[21:34:58]	INFO    | + Loading Game Object "Boss0"
[21:34:58]	-------	|
[21:34:58]	INFO    | + Loading Game Object "CyclopGFX0"
[21:34:58]	-------	|
[21:34:58]	INFO    | + Loading Game Object "Boss1"
[21:34:58]	-------	|
[21:34:58]	INFO    | + Loading Game Object "CyclopGFX1"
[21:34:58]	-------	|
[21:34:58]	INFO    | + Loading Game Object "Boss2"
[21:34:58]	-------	|
[21:34:58]	INFO    | + Loading Game Object "CyclopGFX2"
[21:34:58]	-------	|
[21:34:58]	INFO    | + Loading Game Object "Vent0"
[21:34:58]	-------	|
[21:34:58]	INFO    | + Loading Game Object "Vent1"
[21:34:58]	-------	|
[21:34:58]	INFO    | + Loading Game Object "Vent2"
[21:34:58]	-------	|
[21:34:58]	INFO    | + Loading Game Object "NOE"
[21:34:58]	-------	|
[21:34:58]	INFO    | + Loading Game Object "LANCELOT"
[21:34:58]	-------	|
[21:34:58]	INFO    | + Loading Game Object "RAYANNE"
[21:34:58]	-------	|
[21:34:58]	INFO    | + Loading Game Object "GUI2L"
[21:34:58]	-------	|
[21:34:58]	SUCCESS | > Successfully loaded a new scene
[21:34:58]	-------	|
[21:34:58]	INFO    | Found player
[21:34:58]	-------	|
[21:34:58]	INFO    | Found player
[21:34:58]	-------	|
[21:34:58]	SUCCESS | > Loaded texture "Assets/Textures/TexturesCom_Fabric_1K_albedo.png"
[21:34:58]	-------	|
[21:34:58]	INFO    | Found player
[21:34:58]	-------	|
[21:34:58]	INFO    | Found player
[21:34:58]	-------	|
[21:34:58]	INFO    | Found player
[21:34:58]	-------	|
[21:34:58]	INFO    | Found player
[21:34:58]	-------	|
[21:34:58]	INFO    | Found player
[21:34:58]	-------	|
[21:34:58]	INFO    | Found player
[21:34:58]	-------	|
[21:34:58]	INFO    | Found player
[21:34:58]	-------	|
[21:34:58]	INFO    | Found player
[21:34:58]	-------	|
[21:34:58]	INFO    | Found player
[21:34:58]	-------	|
[21:34:58]	INFO    | Found player
[21:34:58]	-------	|
[21:34:58]	INFO    | Found player
[21:34:58]	-------	|
[21:34:58]	INFO    | Found player
[21:34:58]	-------	|
[21:34:58]	SUCCESS | > Loaded texture "Assets/Dirt_basecolor.png"
[21:34:58]	-------	|
[21:34:58]	INFO    | Found player
[21:34:58]	-------	|
[21:34:58]	INFO    | Found player
[21:34:58]	-------	|
[21:34:58]	INFO    | Found player
[21:34:58]	-------	|
[21:34:58]	INFO    | Found player
[21:34:58]	-------	|
[21:34:58]	INFO    | Found player
[21:34:58]	-------	|
[21:34:58]	SUCCESS | > Loaded texture "Assets/Textures/TexturesCom_Fabric_1K_normal.png"
[21:34:58]	-------	|
[21:34:58]	SUCCESS | > Loaded texture "Assets/Textures/TexturesCom_Scifi_Floor2_1K_albedo.png"
[21:34:58]	-------	|
[21:34:59]	SUCCESS | > Loaded texture "Assets/Textures/TexturesCom_Scifi_Floor4_1K_albedo.png"
[21:34:59]	-------	|
[21:34:59]	SUCCESS | > Loaded texture "Assets/Textures/TexturesCom_Concrete_BrickWall_1K_albedo.png"
[21:34:59]	-------	|
[21:34:59]	SUCCESS | > Loaded texture "Assets/ButtonResume.png"
[21:34:59]	-------	|
[21:34:59]	SUCCESS | > Loaded texture "Assets/ButtonSave.png"
[21:34:59]	-------	|
[21:34:59]	SUCCESS | > Loaded texture "Assets/Textures/TexturesCom_Concrete_Damaged_1K_albedo.png"
[21:34:59]	-------	|
[21:34:59]	INFO    | + Loading new OBJ file : "Assets/Container/Container.obj"
[21:34:59]	-------	|
[21:34:59]	SUCCESS | > Opened file "Assets/Container/Container.obj"
[21:34:59]	-------	|
[21:34:59]	SUCCESS | > Opened file "Assets/Container/Container.mtl"
[21:34:59]	-------	|
[21:34:59]	SUCCESS | > Loaded MTL file : "Assets/Container/Container.mtl"
[21:34:59]	-------	|
[21:34:59]	SUCCESS | > Loaded texture "Assets/ButtonBack.png"
[21:34:59]	-------	|
[21:34:59]	SUCCESS | > Loaded OBJ file : "Assets/Weapon/rifle.obj"
[21:34:59]	-------	|
[21:34:59]	INFO    | + Loading new OBJ file : "Assets/R2/R2.obj"
[21:34:59]	-------	|
[21:34:59]	SUCCESS | > Opened file "Assets/R2/R2.obj"
[21:34:59]	-------	|
[21:34:59]	SUCCESS | > Opened file "Assets/R2/R2.mtl"
[21:34:59]	-------	|
[21:34:59]	SUCCESS | > Loaded MTL file : "Assets/R2/R2.mtl"
[21:34:59]	-------	|
[21:35:00]	SUCCESS | > Loaded OBJ file : "Assets/Container/Container.obj"
[21:35:00]	-------	|
[21:35:00]	SUCCESS | > Loaded texture "Assets/wall_rock_basecolor.png"
[21:35:00]	-------	|
[21:35:00]	INFO    | + Loading new OBJ file : "Assets/boss/Cyclops.obj"
[21:35:00]	-------	|
[21:35:00]	SUCCESS | > Opened file "Assets/boss/Cyclops.obj"
[21:35:00]	-------	|
[21:35:00]	SUCCESS | > Opened file "Assets/boss/Cyclops.mtl"
[21:35:00]	-------	|
[21:35:00]	SUCCESS | > Loaded MTL file : "Assets/boss/Cyclops.mtl"
[21:35:00]	-------	|
[21:35:00]	SUCCESS | > Loaded texture "Assets/Ammo/Ammo_Box_color.png"
[21:35:00]	-------	|
[21:35:00]	INFO    | + Loading new OBJ file : "Assets/Shapes/quad.obj"
[21:35:00]	-------	|
[21:35:00]	SUCCESS | > Opened file "Assets/Shapes/quad.obj"
[21:35:00]	-------	|
[21:35:00]	SUCCESS | > Loaded OBJ file : "Assets/Shapes/quad.obj"
[21:35:00]	-------	|
[21:35:00]	SUCCESS | > Opened file "Assets/boss/scifipanel_obj.mtl"
[21:35:00]	-------	|
[21:35:00]	SUCCESS | > Loaded MTL file : "Assets/boss/scifipanel_obj.mtl"
[21:35:00]	-------	|
[21:35:00]	SUCCESS | > Opened file "Assets/boss/NOE.mtl"
[21:35:00]	-------	|
[21:35:00]	SUCCESS | > Loaded MTL file : "Assets/boss/NOE.mtl"
[21:35:00]	-------	|
[21:35:00]	SUCCESS | > Opened file "Assets/boss/LANCELOT.mtl"
[21:35:00]	-------	|
[21:35:00]	SUCCESS | > Loaded MTL file : "Assets/boss/LANCELOT.mtl"
[21:35:00]	-------	|
[21:35:00]	SUCCESS | > Opened file "Assets/boss/RAYANNE.mtl"
[21:35:00]	-------	|
[21:35:00]	SUCCESS | > Loaded MTL file : "Assets/boss/RAYANNE.mtl"
[21:35:00]	-------	|
